Time	Sum	Command
92	92	---> read -l new_path_comp
11	188	---> if test -d $new_path_comp...
22	22	----> test -d $new_path_comp
53	95	----> set -l where (contains -i -- $new_path_comp $__fish_tmp_path)
42	42	-----> contains -i -- $new_path_comp $__fish_tmp_path
24	24	----> and set -e __fish_tmp_path[$where]
36	36	----> set __fish_tmp_path $new_path_comp $__fish_tmp_path
20	20	---> read -l new_path_comp
12	166	---> if test -d $new_path_comp...
18	18	----> test -d $new_path_comp
44	78	----> set -l where (contains -i -- $new_path_comp $__fish_tmp_path)
34	34	-----> contains -i -- $new_path_comp $__fish_tmp_path
22	22	----> and set -e __fish_tmp_path[$where]
36	36	----> set __fish_tmp_path $new_path_comp $__fish_tmp_path
18	18	---> read -l new_path_comp
9	157	---> if test -d $new_path_comp...
15	15	----> test -d $new_path_comp
43	75	----> set -l where (contains -i -- $new_path_comp $__fish_tmp_path)
32	32	-----> contains -i -- $new_path_comp $__fish_tmp_path
22	22	----> and set -e __fish_tmp_path[$where]
36	36	----> set __fish_tmp_path $new_path_comp $__fish_tmp_path
18	18	---> read -l new_path_comp
10	163	---> if test -d $new_path_comp...
17	17	----> test -d $new_path_comp
43	79	----> set -l where (contains -i -- $new_path_comp $__fish_tmp_path)
36	36	-----> contains -i -- $new_path_comp $__fish_tmp_path
22	22	----> and set -e __fish_tmp_path[$where]
35	35	----> set __fish_tmp_path $new_path_comp $__fish_tmp_path
18	18	---> read -l new_path_comp
10	157	---> if test -d $new_path_comp...
16	16	----> test -d $new_path_comp
43	75	----> set -l where (contains -i -- $new_path_comp $__fish_tmp_path)
32	32	-----> contains -i -- $new_path_comp $__fish_tmp_path
22	22	----> and set -e __fish_tmp_path[$where]
34	34	----> set __fish_tmp_path $new_path_comp $__fish_tmp_path
15	15	---> read -l new_path_comp
36	36	--> set __fish_tmp_path $__fish_tmp_path[-1..1]
340	340	-> for pathfile in /etc/paths.d/*...
54	54	-> set -xg PATH $__fish_tmp_path
14	14	-> set -e __fish_tmp_path
44	44	-> functions -e __fish_load_path_helper_paths
6	14	-> if set -q MANPATH...
8	8	--> set -q MANPATH
17	17	-> function __fish_reconstruct_path -d "Update PATH when fish_user_paths changes" --on-variable fish_user_paths...
108	380	-> __fish_reconstruct_path
37	37	--> set -l local_path $PATH
8	8	--> for x in $__fish_added_user_paths...
11	11	--> set -g __fish_added_user_paths
5	176	--> if set -q fish_user_paths...
8	8	---> set -q fish_user_paths
19	163	---> for x in $fish_user_paths[-1..1]...
7	111	----> if set -l idx (contains --index -- $x $local_path)...
45	83	-----> set -l idx (contains --index -- $x $local_path)
38	38	------> contains --index -- $x $local_path
21	21	-----> set -e local_path[$idx]
33	33	----> set local_path $x $local_path
40	40	--> set -xg PATH $local_path
25	25	-> function fish_sigtrap_handler --on-signal TRAP --no-scope-shadowing --description "Signal handler for the TRAP signal. Launches a debug prompt."...
8	8	-> function __fish_on_interactive --on-event fish_prompt...
10	10	-> function . --description 'Evaluate contents of file (deprecated, see "source")' --no-scope-shadowing...
306	1486	-> __fish_set_locale
867	896	--> source /usr/local/Cellar/fish/2.7.1/share/fish/functions/__fish_set_locale.fish
29	29	---> function __fish_set_locale...
15	15	--> set -l LOCALE_VARS
21	21	--> set LOCALE_VARS $LOCALE_VARS LANG LANGUAGE LC_CTYPE LC_NUMERIC LC_TIME LC_COLLATE
34	34	--> set LOCALE_VARS $LOCALE_VARS LC_MONETARY LC_MESSAGES LC_PAPER LC_NAME LC_ADDRESS
103	103	--> set LOCALE_VARS $LOCALE_VARS LC_TELEPHONE LC_MEASUREMENT LC_IDENTIFICATION
84	111	--> for locale_var in $LOCALE_VARS LC_ALL...
8	27	---> if set -q $locale_var...
13	13	----> set -q $locale_var
6	6	----> return 0
28	28	-> set -l sourcelist
206	21967	-> for file in $configdir/fish/conf.d/*.fish $__fish_sysconfdir/conf.d/*.fish $__extra_confdir/*.fish...
66	1564	--> set -l basename (string replace -r '^.*/' '' -- $file)
211	1498	---> string replace -r '^.*/' '' -- $file
1020	1287	----> source /usr/local/Cellar/fish/2.7.1/share/fish/functions/string.fish
8	267	-----> if not contains string (builtin -n)...
228	259	------> not contains string (builtin -n)
31	31	-------> builtin -n
19	19	--> contains -- $basename $sourcelist
20	20	--> set sourcelist $sourcelist $basename
105	105	--> [ -f $file -a -r $file ]
1078	1147	--> and source $file
24	24	---> set -q FZF_TMUX_HEIGHT
10	10	---> set -q FZF_DEFAULT_OPTS
9	9	---> set -q FZF_LEGACY_KEYBINDINGS
8	8	---> set -q FZF_PREVIEW_FILE_CMD
7	7	---> set -q FZF_PREVIEW_DIR_CMD
11	11	---> function fzf_uninstall -e fzf_uninstall...
76	119	--> set -l basename (string replace -r '^.*/' '' -- $file)
43	43	---> string replace -r '^.*/' '' -- $file
20	20	--> contains -- $basename $sourcelist
23	23	--> set sourcelist $sourcelist $basename
73	73	--> [ -f $file -a -r $file ]
776	1153	--> and source $file
19	344	---> if test "$FZF_LEGACY_KEYBINDINGS" -eq 1...
45	45	----> test "$FZF_LEGACY_KEYBINDINGS" -eq 1
89	89	----> bind \co '__fzf_find_file'
16	16	----> bind \cr '__fzf_reverse_isearch'
13	13	----> bind \ec '__fzf_cd'
12	12	----> bind \eC '__fzf_cd --hidden'
12	12	----> bind \eO '__fzf_open'
11	11	----> bind \eo '__fzf_open --editor'
17	127	----> if bind -M insert >/dev/null 2>/dev/null...
31	31	-----> bind -M insert >/dev/null 2>/dev/null
17	17	-----> bind -M insert \co '__fzf_find_file'
13	13	-----> bind -M insert \cr '__fzf_reverse_isearch'
12	12	-----> bind -M insert \ec '__fzf_cd'
12	12	-----> bind -M insert \eC '__fzf_cd --hidden'
13	13	-----> bind -M insert \eO '__fzf_open'
12	12	-----> bind -M insert \eo '__fzf_open --editor'
6	17	---> if set -q FZF_COMPLETE...
11	11	----> set -q FZF_COMPLETE
16	16	---> function fzf_key_bindings_uninstall -e fzf_key_bindings_uninstall...
77	119	--> set -l basename (string replace -r '^.*/' '' -- $file)
42	42	---> string replace -r '^.*/' '' -- $file
24	24	--> contains -- $basename $sourcelist
28	28	--> set sourcelist $sourcelist $basename
41	41	--> [ -f $file -a -r $file ]
62	100	--> set -l basename (string replace -r '^.*/' '' -- $file)
38	38	---> string replace -r '^.*/' '' -- $file
25	25	--> contains -- $basename $sourcelist
31	31	--> set sourcelist $sourcelist $basename
59	59	--> [ -f $file -a -r $file ]
1493	17091	--> and source $file
9	43	---> if test -z "$Z_DATA"...
34	34	----> test -z "$Z_DATA"
7	52	---> if test ! -e "$Z_DATA"...
45	45	----> test ! -e "$Z_DATA"
6	22	---> if test -z "$Z_CMD"...
16	16	----> test -z "$Z_CMD"
78	78	---> set -U ZO_CMD "$Z_CMD"o
7	39	---> if test ! -z $Z_CMD...
17	17	----> test ! -z $Z_CMD
15	15	----> function $Z_CMD -d "jump around"...
7	40	---> if test ! -z $ZO_CMD...
11	11	----> test ! -z $ZO_CMD
22	22	----> function $ZO_CMD -d "open target dir"...
6	17	---> if not set -q Z_EXCLUDE...
11	11	----> not set -q Z_EXCLUDE
228	15279	---> __z_complete
683	703	----> source /Users/takuto/.config/fish/functions/__z_complete.fish
20	20	-----> function __z_complete -d "add completions"...
826	13492	----> set -l __z_marks (string replace -r '\|.*' '' < $Z_DATA | string escape)
12666	12666	-----> string replace -r '\|.*' '' < $Z_DATA | string escape
420	420	----> complete -c $Z_CMD -a "$__z_marks" -f
277	277	----> complete -c $ZO_CMD -a "$__z_marks" -f
38	38	----> complete -c $Z_CMD -s c -l clean  -d "Cleans out $Z_DATA"
22	22	----> complete -c $Z_CMD -s e -l echo   -d "Prints best match, no cd"
20	20	----> complete -c $Z_CMD -s l -l list   -d "List matches, no cd"
23	23	----> complete -c $Z_CMD -s p -l purge  -d "Purges $Z_DATA"
18	18	----> complete -c $Z_CMD -s r -l rank   -d "Searches by rank, cd"
20	20	----> complete -c $Z_CMD -s t -l recent -d "Searches by recency, cd"
18	18	----> complete -c $Z_CMD -s h -l help   -d "Print help"
28	28	---> function __z_on_variable_pwd --on-variable PWD...
10	33	-> if not set -q __fish_init_2_3_0...
23	23	--> not set -q __fish_init_2_3_0
9	80	-> if status --is-login...
71	71	--> status --is-login
474	474	> builtin source /usr/local/Cellar/fish/2.7.1/etc/fish/config.fish
411	495	> builtin source /Users/takuto/.config/fish/config.fish
84	84	-> set PATH /usr/local/bin /usr/sbin $PATH
48	48	> echo $_ " "
128	4299	> __fish_pwd
452	4082	-> source /usr/local/Cellar/fish/2.7.1/share/fish/functions/__fish_pwd.fish
78	3630	--> switch (uname)...
3533	3533	---> uname
19	19	---> function __fish_pwd --description "Show current path"...
89	89	-> pwd
48	25510	> __fish_on_interactive
1835	25451	-> __fish_config_interactive
3331	3437	--> source /usr/local/Cellar/fish/2.7.1/share/fish/functions/__fish_config_interactive.fish
106	106	---> function __fish_config_interactive -d "Initializations that should be performed when entering interactive mode"...
11	113	--> if set -q __fish_config_interactive_done...
102	102	---> set -q __fish_config_interactive_done
20	20	--> set -g __fish_config_interactive_done
15	15	--> set -g __fish_active_key_bindings
43	43	--> set -l configdir ~/.config
8	17	--> if set -q XDG_CONFIG_HOME...
9	9	---> set -q XDG_CONFIG_HOME
31	31	--> set -l userdatadir ~/.local/share
7	16	--> if set -q XDG_DATA_HOME...
9	9	---> set -q XDG_DATA_HOME
6	14	--> if not set -q fish_greeting...
8	8	---> not set -q fish_greeting
6	14	--> if not set -q __fish_init_2_39_8...
8	8	---> not set -q __fish_init_2_39_8
9	56	--> if not set -q FISH_UNIT_TESTS_RUNNING...
8	8	---> not set -q FISH_UNIT_TESTS_RUNNING
8	39	---> if not test -d $userdatadir/fish/generated_completions...
31	31	----> not test -d $userdatadir/fish/generated_completions
23	117	--> if status --is-interactive...
12	12	---> status --is-interactive
11	82	---> if functions -q fish_greeting...
56	56	----> functions -q fish_greeting
15	15	----> test -n "$fish_greeting"
22	22	--> function __fish_repaint --on-variable fish_color_cwd --description "Event handler, repaints the prompt when fish_color_cwd changes"...
17	17	--> function __fish_repaint_root --on-variable fish_color_cwd_root --description "Event handler, repaints the prompt when fish_color_cwd_root changes"...
8	25	--> if test -d /etc/init.d...
17	17	---> test -d /etc/init.d
6	16	--> if not set -q fish_key_bindings...
10	10	---> not set -q fish_key_bindings
36	36	--> function __fish_reload_key_bindings -d "Reload key bindings when binding variable change" --on-variable fish_key_bindings...
224	9334	--> __fish_reload_key_bindings
7	41	---> if test "$fish_key_bindings" = "$__fish_active_key_bindings" -a -n "$fish_key_bindings"...
34	34	----> test "$fish_key_bindings" = "$__fish_active_key_bindings" -a -n "$fish_key_bindings"
7	1279	---> if not functions -q "$fish_key_bindings"...
114	1272	----> not functions -q "$fish_key_bindings"
1130	1158	-----> source /usr/local/Cellar/fish/2.7.1/share/fish/functions/fish_default_key_bindings.fish
28	28	------> function fish_default_key_bindings -d "Default (Emacs-like) key bindings for fish"...
37	37	---> set -g __fish_active_key_bindings "$fish_key_bindings"
19	19	---> set -g fish_bind_mode default
16	7666	---> if test "$fish_key_bindings" = fish_default_key_bindings...
22	22	----> test "$fish_key_bindings" = fish_default_key_bindings
487	7628	----> fish_default_key_bindings ^/dev/null
10	44	-----> if contains -- -h $argv...
20	20	------> contains -- -h $argv
14	14	------> or contains -- --help $argv
13	142	-----> if not set -q argv[1]...
11	11	------> not set -q argv[1]
66	66	------> bind --erase --all
12	52	------> if test "$fish_key_bindings" != "fish_default_key_bindings"...
40	40	-------> test "$fish_key_bindings" != "fish_default_key_bindings"
829	6414	-----> __fish_shared_key_bindings $argv
2180	2297	------> source /usr/local/Cellar/fish/2.7.1/share/fish/functions/__fish_shared_key_bindings.fish
72	72	-------> function __fish_shared_key_bindings -d "Bindings shared between emacs and vi mode"...
30	30	-------> function __fish_commandline_insert_escaped --description 'Insert the first arg escaped if a second arg is given'...
8	8	-------> function __fish_start_bracketed_paste...
7	7	-------> function __fish_stop_bracketed_paste...
13	58	------> if contains -- -h $argv...
30	30	-------> contains -- -h $argv
15	15	-------> or contains -- --help $argv
21	21	------> bind $argv \cy yank
16	16	------> bind $argv \ey yank-pop
40	40	------> bind $argv -k right forward-char
21	21	------> bind $argv -k left backward-char
18	18	------> bind $argv \e\[C forward-char
14	14	------> bind $argv \e\[D backward-char
14	14	------> bind $argv \eOC forward-char
14	14	------> bind $argv \eOD backward-char
16	16	------> bind $argv -k ppage beginning-of-history
15	15	------> bind $argv -k npage end-of-history
16	16	------> bind $argv \cx fish_clipboard_copy
15	15	------> bind $argv \cv fish_clipboard_paste
14	14	------> bind $argv \e cancel
13	13	------> bind $argv \t complete
17	17	------> bind $argv --key btab complete-and-search
19	19	------> bind $argv \e\n "commandline -i \n"
17	17	------> bind $argv \e\r "commandline -i \n"
15	15	------> bind $argv -k down down-or-search
16	16	------> bind $argv -k up up-or-search
16	16	------> bind $argv \e\[A up-or-search
14	14	------> bind $argv \e\[B down-or-search
12	12	------> bind $argv \eOA up-or-search
12	12	------> bind $argv \eOB down-or-search
16	16	------> bind $argv \e\eOC nextd-or-forward-word
16	16	------> bind $argv \e\eOD prevd-or-backward-word
17	17	------> bind $argv \e\e\[C nextd-or-forward-word
15	15	------> bind $argv \e\e\[D prevd-or-backward-word
16	16	------> bind $argv \eO3C nextd-or-forward-word
15	15	------> bind $argv \eO3D prevd-or-backward-word
16	16	------> bind $argv \e\[3C nextd-or-forward-word
15	15	------> bind $argv \e\[3D prevd-or-backward-word
18	18	------> bind $argv \e\[1\;3C nextd-or-forward-word
17	17	------> bind $argv \e\[1\;3D prevd-or-backward-word
18	18	------> bind $argv \e\[1\;9C nextd-or-forward-word
17	17	------> bind $argv \e\[1\;9D prevd-or-backward-word
16	16	------> bind $argv \e\eOA history-token-search-backward
18	18	------> bind $argv \e\eOB history-token-search-forward
17	17	------> bind $argv \e\e\[A history-token-search-backward
16	16	------> bind $argv \e\e\[B history-token-search-forward
15	15	------> bind $argv \eO3A history-token-search-backward
15	15	------> bind $argv \eO3B history-token-search-forward
16	16	------> bind $argv \e\[3A history-token-search-backward
16	16	------> bind $argv \e\[3B history-token-search-forward
19	19	------> bind $argv \e\[1\;3A history-token-search-backward
18	18	------> bind $argv \e\[1\;3B history-token-search-forward
18	18	------> bind $argv \e\[1\;9A history-token-search-backward
19	19	------> bind $argv \e\[1\;9B history-token-search-forward
15	15	------> bind $argv \e. history-token-search-backward
15	15	------> bind $argv \el __fish_list_current_token
22	22	------> bind $argv \ew 'set tok (commandline -pt); if test $tok[1]; echo; whatis $tok[1]; commandline -f repaint; end'
21	21	------> bind $argv \cl 'echo -n (clear | string replace \e\[3J ""); commandline -f repaint'
16	16	------> bind $argv \cc __fish_cancel_commandline
14	14	------> bind $argv \cu backward-kill-line
14	14	------> bind $argv \cw backward-kill-path-component
16	16	------> bind $argv \e\[F end-of-line
17	17	------> bind $argv \e\[H beginning-of-line
23	23	------> bind $argv \ed 'set -l cmd (commandline); if test -z "$cmd"; echo; dirh; commandline -f repaint; else; commandline -f kill-word; end'
15	15	------> bind $argv \cd delete-or-exit
18	18	------> bind $argv -k f1 __fish_man_page
16	16	------> bind $argv \eh __fish_man_page
20	20	------> bind $argv \ep '__fish_paginate'
17	17	------> bind $argv \e\# __fish_toggle_comment_commandline
14	14	------> bind \ee edit_command_buffer
13	13	------> bind \ev edit_command_buffer
143	2063	------> for mode in (bind --list-modes | string match -v paste)...
1874	1874	-------> bind --list-modes | string match -v paste
46	46	-------> bind -M $mode -m paste \e\[200~ '__fish_start_bracketed_paste'
27	27	------> bind -M paste \e\[201~ '__fish_stop_bracketed_paste'
13	13	------> bind -M paste "" self-insert
14	14	------> bind -M paste \r "commandline -i \n"
28	28	------> bind -M paste "'" "__fish_commandline_insert_escaped \' \$__fish_paste_quoted"
15	15	------> bind -M paste \\ "__fish_commandline_insert_escaped \\\ \$__fish_paste_quoted"
13	13	-----> bind $argv "" self-insert
12	12	-----> bind $argv \n execute
12	12	-----> bind $argv \r execute
12	12	-----> bind $argv \ck kill-line
11	11	-----> bind $argv \eOC forward-char
13	13	-----> bind $argv \eOD backward-char
12	12	-----> bind $argv \e\[C forward-char
17	17	-----> bind $argv \e\[D backward-char
13	13	-----> bind $argv -k right forward-char
11	11	-----> bind $argv -k left backward-char
13	13	-----> bind $argv -k dc delete-char
12	12	-----> bind $argv -k backspace backward-delete-char
12	12	-----> bind $argv \x7f backward-delete-char
14	14	-----> bind $argv \e\[1~ beginning-of-line
11	11	-----> bind $argv \e\[3~ delete-char
14	14	-----> bind $argv \e\[4~ end-of-line
17	17	-----> bind $argv -k home beginning-of-line 2>/dev/null
15	15	-----> bind $argv -k end end-of-line 2>/dev/null
17	17	-----> bind $argv \e\[3\;2~ backward-delete-char
12	12	-----> bind $argv \ca beginning-of-line
16	16	-----> bind $argv \ce end-of-line
10	10	-----> bind $argv \ch backward-delete-char
12	12	-----> bind $argv \cp up-or-search
12	12	-----> bind $argv \cn down-or-search
11	11	-----> bind $argv \cf forward-char
11	11	-----> bind $argv \cb backward-char
11	11	-----> bind $argv \ct transpose-chars
12	12	-----> bind $argv \et transpose-words
12	12	-----> bind $argv \eu upcase-word
12	12	-----> bind $argv \ec capitalize-word
13	13	-----> bind $argv \e\x7f backward-kill-word
12	12	-----> bind $argv \eb backward-word
12	12	-----> bind $argv \ef forward-word
17	17	-----> bind $argv \e\[1\;5C forward-word
17	17	-----> bind $argv \e\[1\;5D backward-word
17	17	-----> bind $argv \e\< beginning-of-buffer
13	13	-----> bind $argv \e\> end-of-buffer
9	9	-----> bind \ed kill-word
16	16	-----> bind \e\[I 'begin;end'
15	15	-----> bind \e\[O 'begin;end'
18	18	-----> switch "$TERM"...
8	68	---> if functions --query fish_user_key_bindings >/dev/null...
60	60	----> functions --query fish_user_key_bindings >/dev/null
12	139	--> if not set -q FISH_UNIT_TESTS_RUNNING...
14	14	---> not set -q FISH_UNIT_TESTS_RUNNING
15	15	---> function __fish_enable_bracketed_paste --on-event fish_prompt...
15	15	---> function __fish_disable_bracketed_paste --on-event fish_preexec --on-process-exit %self...
35	83	---> __fish_enable_bracketed_paste
48	48	----> printf "\e[?2004h"
19	19	--> function __fish_winch_handler --on-signal WINCH -d "Repaint screen when window changes size"...
10	10	--> set -q VTE_VERSION
15	15	--> or set -l VTE_VERSION 0
8	8	--> set -q TERM_PROGRAM
11	3795	--> if test "$VTE_VERSION" -ge 3405 -o "$TERM_PROGRAM" = "Apple_Terminal"...
31	31	---> test "$VTE_VERSION" -ge 3405 -o "$TERM_PROGRAM" = "Apple_Terminal"
29	29	---> function __update_cwd_osc --on-variable PWD --description 'Notify capable terminals when $PWD changes'...
62	3724	---> __update_cwd_osc
8	31	----> if status --is-command-substitution...
14	14	-----> status --is-command-substitution
9	9	-----> or set -q INSIDE_EMACS
138	3631	----> printf \e\]7\;file://\%s\%s\a (hostname) (string escape --style=url $PWD)
2804	3463	-----> hostname
640	659	------> source /usr/local/Cellar/fish/2.7.1/share/fish/functions/hostname.fish
19	19	-------> set -q USERDOMAIN
30	30	-----> string escape --style=url $PWD
13	6287	--> if not type -q __fish_command_not_found_handler...
673	2841	---> not type -q __fish_command_not_found_handler
1148	1193	----> source /usr/local/Cellar/fish/2.7.1/share/fish/functions/type.fish
45	45	-----> function type --description 'Print the type of a command'...
15	15	----> set -q argv[1]
43	43	----> set -l options 'h/help' 'a/all' 'f/no-functions' 't/type' 'p/path' 'P/force-path' 'q/quiet'
140	140	----> argparse -n type --min-args=1 -x t,p,P $options -- $argv
12	81	----> if set -q _flag_help...
69	69	-----> set -q _flag_help
18	18	----> set -l res 1
13	13	----> set -l mode normal
13	13	----> set -l multi no
13	13	----> set -l selection all
8	28	----> if set -q _flag_quiet...
8	8	-----> set -q _flag_quiet
12	12	-----> set mode quiet
8	8	----> set -q _flag_all
7	7	----> set -q _flag_no_functions
24	589	----> for i in $argv...
19	19	-----> set -l found 0
9	337	-----> if test $selection != files...
16	16	------> test $selection != files
7	63	------> if functions -q -- $i...
56	56	-------> functions -q -- $i
8	249	------> if contains -- $i (builtin -n)...
210	241	-------> contains -- $i (builtin -n)
31	31	--------> builtin -n
15	15	-----> set -l paths
8	151	-----> if test $multi != yes...
14	14	------> test $multi != yes
64	129	------> set paths (command -s -- $i)
65	65	-------> command -s -- $i
8	8	-----> for path in $paths...
8	35	-----> if test $found = 0...
13	13	------> test $found = 0
14	14	------> and test $mode != quiet
7	7	----> return $res
13	13	---> set -l os
8	27	---> if test -r /etc/os-release...
19	19	----> test -r /etc/os-release
18	3393	---> if contains -- suse $os...
11	11	----> contains -- suse $os
13	13	----> test -f /usr/libexec/pk-command-not-found
13	13	----> test -f /usr/lib/command-not-found
13	13	----> test -f /run/current-system/sw/bin/command-not-found
547	1416	----> type -q command-not-found
17	17	-----> set -q argv[1]
52	52	-----> set -l options 'h/help' 'a/all' 'f/no-functions' 't/type' 'p/path' 'P/force-path' 'q/quiet'
85	85	-----> argparse -n type --min-args=1 -x t,p,P $options -- $argv
9	19	-----> if set -q _flag_help...
10	10	------> set -q _flag_help
15	15	-----> set -l res 1
20	20	-----> set -l mode normal
21	21	-----> set -l multi no
14	14	-----> set -l selection all
8	27	-----> if set -q _flag_quiet...
7	7	------> set -q _flag_quiet
12	12	------> set mode quiet
8	8	-----> set -q _flag_all
7	7	-----> set -q _flag_no_functions
25	577	-----> for i in $argv...
12	12	------> set -l found 0
15	344	------> if test $selection != files...
15	15	-------> test $selection != files
8	75	-------> if functions -q -- $i...
67	67	--------> functions -q -- $i
7	239	-------> if contains -- $i (builtin -n)...
200	232	--------> contains -- $i (builtin -n)
32	32	---------> builtin -n
15	15	------> set -l paths
9	139	------> if test $multi != yes...
13	13	-------> test $multi != yes
54	117	-------> set paths (command -s -- $i)
63	63	--------> command -s -- $i
8	8	------> for path in $paths...
9	34	------> if test $found = 0...
12	12	-------> test $found = 0
13	13	-------> and test $mode != quiet
7	7	-----> return $res
621	1897	----> type -p -q pkgfile
25	25	-----> set -q argv[1]
79	79	-----> set -l options 'h/help' 'a/all' 'f/no-functions' 't/type' 'p/path' 'P/force-path' 'q/quiet'
129	129	-----> argparse -n type --min-args=1 -x t,p,P $options -- $argv
11	29	-----> if set -q _flag_help...
18	18	------> set -q _flag_help
19	19	-----> set -l res 1
20	20	-----> set -l mode normal
20	20	-----> set -l multi no
19	19	-----> set -l selection all
11	40	-----> if set -q _flag_quiet...
11	11	------> set -q _flag_quiet
18	18	------> set mode quiet
88	88	-----> set -q _flag_all
12	12	-----> set -q _flag_no_functions
29	789	-----> for i in $argv...
17	17	------> set -l found 0
12	468	------> if test $selection != files...
26	26	-------> test $selection != files
9	91	-------> if functions -q -- $i...
82	82	--------> functions -q -- $i
12	339	-------> if contains -- $i (builtin -n)...
294	327	--------> contains -- $i (builtin -n)
33	33	---------> builtin -n
24	24	------> set -l paths
10	212	------> if test $multi != yes...
58	58	-------> test $multi != yes
80	144	-------> set paths (command -s -- $i)
64	64	--------> command -s -- $i
8	8	------> for path in $paths...
6	31	------> if test $found = 0...
12	12	-------> test $found = 0
13	13	-------> and test $mode != quiet
7	7	-----> return $res
12	12	----> function __fish_command_not_found_handler --on-event fish_command_not_found...
11	11	-> functions -e __fish_on_interactive
1213	1240	> source /Users/takuto/.config/fish/functions/fish_prompt.fish
27	27	-> function fish_prompt --description 'Write out the prompt'...
366	387	> source /usr/local/Cellar/fish/2.7.1/share/fish/functions/fish_mode_prompt.fish
21	21	-> function fish_mode_prompt --description "Displays the current mode"...
32	836	> fish_mode_prompt
250	804	-> fish_default_mode_prompt
470	492	--> source /usr/local/Cellar/fish/2.7.1/share/fish/functions/fish_default_mode_prompt.fish
22	22	---> function fish_default_mode_prompt --description "Display the default mode for the prompt"...
9	62	--> if test "$fish_key_bindings" = "fish_vi_key_bindings"...
29	29	---> test "$fish_key_bindings" = "fish_vi_key_bindings"
24	24	---> or test "$fish_key_bindings" = "fish_hybrid_key_bindings"
481	40628	> fish_prompt
25	25	-> set -l last_status $status
10	40	-> if not set -q __fish_git_prompt_show_informative_status...
13	13	--> not set -q __fish_git_prompt_show_informative_status
17	17	--> set -g __fish_git_prompt_show_informative_status 1
9	36	-> if not set -q __fish_git_prompt_hide_untrackedfiles...
10	10	--> not set -q __fish_git_prompt_hide_untrackedfiles
17	17	--> set -g __fish_git_prompt_hide_untrackedfiles 1
8	40	-> if not set -q __fish_git_prompt_color_branch...
13	13	--> not set -q __fish_git_prompt_color_branch
19	19	--> set -g __fish_git_prompt_color_branch magenta --bold
